SKT T1 K,korea,1
KT Bullets,korea,1
KT Arrows,korea,1
C,na,1
XDG,na,1
SG Ozone,korea,1
SG Blue,korea,1
NJBS,korea,1
NJWS,korea,1
yoe.FW,taiwan,1
IM 1,korea,1
AW Arena,korea,1
Falcons,korea,1
Stealths,korea,1
LD,eu,1
ROCCAT,eu,1
M,korea,1
CJ Frost,korea,1
CJ Blaze,korea,1
WE,china,1
Gambit,russia,1
C9,na,1
OMG,china,1
EDG,china,1
SKT T1 S,korea,1
ahq,taiwan,1
TSM,na,1
TPS,taiwan,1
Fnatic,eu,1
TPA,Taiwan,1
A,eu,1
WE Acad,china,0
ROCCAT,poland,1
SK,eu,1
Stealths,korea,1
iSE,singapore,1
OLYMPUS,korea,1
CW,eu,1
iG,china,1
IM 1,korea,1
CLG,na,1
Must Study Hard,korea,1
KT Arrows,korea,1
Dark,korea,0
CTU,korea,1
yoe.FW,taiwan,1
HKA,hongkong,1
IM 2,korea,1
LGD,china,1
SAJ,vietnam,1
Royal,china,1
Storm,korea,1
Team Alienware,korea,1
GG.EU,lithuania,0
Dongtax,korea,1
Blast,korea,1
Lyon,mexico,1
Falcons,korea,1
Sirius Altair,korea,1
YG,china,1
SHC,eu,1
PE,china,1
Mook C,korea,1
MiG Blitz,korea,0
paiN,brazil,1
CGA Ls,hongkong,1
TPoS,korea,0
Crs,na,1
LMQ,china,1
SGS,vietnam,1
M,eu,1
DTG,na,1
Prime.O,korea,1
twz,na,1
n.Die.Guts,korea,0
M1,eu,0
TS,na,0
Anexis,eu,0
NB,korea,1
AW Arena,korea,1
EG,na,1
VTG.M,korea,0
iS,singapore,1
d,na,1
SiJ,eu,0
OP,korea,1
HKA.P,hongkong,1
STO,eu,1
Keyd,brazil,1
MiTH FD,thailand,1
Prime.S,korea,1
NiP,eu,1
Spero Spera,korea,0
God-Sin,korea,1
LM,china,0
Midas FIO,korea,1
MSH,korea,1
Gamefy,china,1
COG,na,1
MOOK C,korea,1
Wizards,eu,0
TSB,na,0
GOL,korea,0
KLH,malaysia,1
ISG,argentina,1
Immunity,australia,1
KaBuM,brazil,1
RPE,chile,1
ESC,germany,1
Rampage,japan,1
ANG,peru,1
MYM,poland,1
RED,russia,1
DP,turkey,1
CG,hongkong,0
VTG.R,korea,1
Mook,korea,1
Mineski,philippines
MiG Wicked,korea,1
